ID,Name,Qtd_dias,Role_Jobs,Qtd_Jobs,Rank,Rank_recomendado
28817450,Avenus Zignos,126,2,5,Sapling,Senior Tree
7016977,Elrohyr Edrahil,98,3,12,Sapling,Senior Tree
24436561,Fujiwara Awatari,250,3,10,Senior Tree,Lunar Tree
28124892,Katsumy Draco,93,3,4,Sapling,Senior Tree
34570959,King Ackerman,104,2,2,Sapling,Senior Tree
42849940,Kowarechatte Chan,93,2,3,Sapling,Senior Tree
43105724,Necros Serelepe,93,1,1,Sapling,Senior Tree
35516078,Ragnarbe Mckennitt,95,2,3,Sapling,Senior Tree
39365731,Senhora Khan,347,3,11,Senior Tree,Lunar Tree
42652494,Shion Yumishi,101,1,1,Sapling,Senior Tree
34975812,Uhra Bhitme,115,2,3,Sapling,Senior Tree
