CLP,Chile,106.13718390464783
ARS,Argentina,21.979254961013794
TRY,Turkey,7.943038463592529
UYU,Uruguay,100.64353847503662
JPY,Japan,98.91559910774231
TWD,Taiwan,75.0512182712555
LKR,Sri Lanka,70.685586810112
VND,Vietnam,33.17307448387146
CZK,Czech Republic,93.32883942127228
PHP,Philippines,73.78859853744507
CRC,Costa Rica,94.85251879692078
IDR,Indonesia,69.22761869430542
COP,Colombia,99.5240228176117
RUB,Russia,50.58927667140961
UAH,Ukraine,6.540874719619751
THB,Thailand,80.3173177242279
HNL,Honduras,14.076390743255615
HUF,Hungary,98.59383141994476
LBP,Lebanon,17.221460342407227
INR,India,38.03065776824951
KRW,South Korea,104.81626796722412
NIO,Nicaragua,13.303026676177979
PKR,Pakistan,76.5723569393158
